name,nickname,record,height,weight,reach,stance,DOB,significant strikes per min,striking accuracy,strikes absorbed per min,strike defense,takedown average,takedown accuracy,takedown defense,submission average,most recent fight
"William,Gomis",Jaguar,14-2-0,6  0,145 lbs.,73,Southpaw,"Jun 13, 1997",2.69,50%,1.60,71%,0.78,37%,70%,0.5,next
"Edson,Gomez",,6-2-0,5  8,170 lbs.,69,Switch,"Feb 23, 1991",2.66,32%,8.78,45%,0.00,0%,0%,0.0,loss
"Tebaris,Gordon",Boom,3-1-0,6  1,265 lbs.,--,Orthodox,"Jul 19, 1988",3.53,16%,49.41,22%,0.00,0%,0%,0.0,loss
"Joey,Gomez",,7-1-0,5  10,155 lbs.,71,Orthodox,"Aug 29, 1989",3.73,49%,3.33,50%,2.00,28%,0%,0.0,loss
"Jeff,Hougland",Hellbound,10-6-0,5  7,135 lbs.,68,Orthodox,"Aug 02, 1978",1.86,48%,3.46,47%,0.86,18%,0%,1.1,loss
"Saeed,Hosseini",,0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Brady,Huang",The Kung Fu Warrior,11-2-0,5  9,135 lbs.,69,Orthodox,"Dec 16, 1992",4.62,37%,10.77,30%,0.00,0%,0%,0.0,loss
"Carlos,Huachin",Perro Malo,10-5-1,5  4,135 lbs.,67,Southpaw,"Jun 04, 1996",2.10,21%,4.80,50%,0.00,0%,66%,0.0,loss
"Hu,Yaozong",Totoro,3-3-0,6  3,185 lbs.,72,Orthodox,"Apr 07, 1995",3.35,48%,5.09,35%,0.00,0%,33%,0.4,loss
"Damien,Brown",Beatdown,17-12-0,5  10,155 lbs.,68,Orthodox,"Dec 25, 1984",3.66,38%,4.86,50%,0.68,27%,53%,0.7,loss
"TJ,Brown",Downtown,17-11-0,5  9,145 lbs.,72,Switch,"May 22, 1990",3.37,44%,2.89,49%,3.41,57%,36%,1.3,loss
"Courtney,Buck",,12-11-0,5  10,135 lbs.,--,Orthodox,"Mar 19, 1982",1.49,28%,3.24,54%,0.00,0%,33%,0.0,loss
"Mayra,Bueno,Silva",Sheetara,"10-5-1,(1,NC)",5  6,125 lbs.,66,Orthodox,"Aug 22, 1991",4.01,59%,5.00,52%,0.64,29%,66%,1.5,loss
"Modestas,Bukauskas",The Baltic Gladiator,16-6-0,6  3,205 lbs.,78,Switch,"Feb 10, 1994",3.21,42%,4.11,49%,0.38,66%,71%,0.2,next
"Joaquin,Buckley",New Mansa,21-6-0,5  10,170 lbs.,76,Southpaw,"Apr 27, 1994",4.22,37%,3.13,59%,1.78,45%,73%,0.1,win
"Paul,Buentello",The Headhunter,35-17-0,6  2,245 lbs.,77,Orthodox,"Jan 16, 1974",3.29,45%,3.83,52%,0.19,33%,39%,0.4,loss
"Francisco,Bueno",,5-2-0,5  9,225 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Mike,Budnik",,13-4-0,5  9,145 lbs.,68,Orthodox,"Aug 08, 1974",0.65,52%,0.95,53%,0.00,0%,0%,3.4,loss
"Michael,Byrnes",,5-3-0,5  11,155 lbs.,--,,"Jul 17, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"JP,Buys",Young Savage,9-6-0,5  5,135 lbs.,67,Orthodox,"Apr 30, 1996",1.88,39%,3.02,40%,1.55,25%,25%,2.3,loss
"Dylan,Budka",The Mindless Hulk,7-4-0,6  0,185 lbs.,75,Switch,"Jan 14, 2000",1.07,43%,1.69,41%,2.02,38%,76%,0.4,next
"Jesse,Butler",,12-6-0,5  10,135 lbs.,73,Orthodox,"May 24, 1992",2.02,34%,4.62,39%,0.00,0%,0%,0.0,loss
"Jorge,Santiago",The Sandman,25-12-0,6  1,170 lbs.,75,Orthodox,"Oct 09, 1980",1.69,35%,2.62,56%,0.58,30%,52%,0.8,loss
"Will,Santiago",The Brown Bomber,9-5-0,5  7,185 lbs.,--,Orthodox,"Feb 08, 1983",1.47,39%,5.53,56%,1.00,50%,100%,0.0,loss
"Richie,Santiago",The Milford Mauler,7-2-0,5  7,135 lbs.,67,Southpaw,"Oct 10, 1992",3.87,49%,4.87,42%,0.00,0%,25%,0.0,loss
"Mike,Santiago",,19-12-0,5  10,145 lbs.,69,Orthodox,"Jul 28, 1989",3.44,49%,3.58,36%,2.66,50%,53%,1.1,loss
"Marilia,Santos",Chocolate,10-3-0,5  4,125 lbs.,--,Orthodox,"Dec 12, 1992",4.40,54%,4.07,53%,1.00,100%,66%,1.0,loss
"Christien,Savoie",The Tiger,10-2-1,5  11,170 lbs.,72,Orthodox,"Aug 29, 1992",1.39,45%,6.95,23%,0.00,0%,12%,0.0,loss
"Chris,Saunders",The So Cal Kid,16-8-0,5  8,155 lbs.,--,,"Mar 11, 1986",1.48,22%,2.96,75%,3.70,100%,0%,0.0,loss
"Diego,Saraiva",The Octopus,22-20-1,5  6,155 lbs.,--,Orthodox,"Apr 23, 1982",1.64,32%,3.58,62%,1.33,40%,0%,0.7,loss
"Pat,Schilling",Thrilling,5-2-0,5  8,145 lbs.,--,Orthodox,"Aug 28, 1988",1.87,26%,8.24,52%,0.00,0%,0%,0.0,loss
"Townsend,Saunders",,0-2-0,5  5,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Samy,Schiavo",,10-6-0,5  8,155 lbs.,--,Orthodox,"Dec 24, 1975",1.68,34%,2.62,38%,0.94,50%,66%,0.9,loss
"Priya,Sharma",The Catwoman,5-2-0,5  1,115 lbs.,59,Orthodox,"Aug 29, 1991",1.33,16%,3.20,40%,0.00,0%,55%,0.0,loss
"Sean,Sharaf",The Smoke,4-1-0,6  3,252 lbs.,77,Orthodox,"Jul 11, 1993",7.31,44%,9.79,44%,2.07,12%,0%,0.0,loss
"Joaquim,Silva",Netto BJJ,13-6-0,5  8,155 lbs.,69,Southpaw,"Feb 05, 1989",3.66,43%,4.53,53%,0.39,50%,69%,0.8,loss
"Edson,Silva",Paredao,"14-12-0,(1,NC)",--,205 lbs.,--,Orthodox,--,2.69,14%,5.37,50%,0.00,0%,0%,0.0,loss
"Felipe,Silva",,8-2-0,6  0,155 lbs.,77,Orthodox,"May 08, 1984",5.40,50%,1.80,59%,1.00,100%,71%,0.0,loss
"Shang,Zhifa",Northeast Flying Tiger,32-8-0,5  7,125 lbs.,63,Orthodox,"Mar 15, 1986",1.27,32%,1.27,60%,2.00,100%,0%,0.0,loss
"Frank,Shamrock",,23-10-2,5  10,185 lbs.,--,Orthodox,"Dec 08, 1972",4.75,53%,4.66,57%,0.35,50%,37%,1.1,loss
"Tony,Sims",,12-4-0,5  11,155 lbs.,70,Southpaw,"Oct 14, 1985",1.81,63%,0.76,65%,0.71,50%,50%,0.7,loss
"George,Sotiropoulos",,14-7-0,5  10,155 lbs.,71,Orthodox,"Jul 09, 1977",2.61,27%,2.52,67%,2.32,31%,53%,1.6,loss
"Heraldo,Souza",Savage,9-2-1,5  11,185 lbs.,73,Orthodox,"Dec 15, 1994",1.62,33%,1.62,50%,0.00,0%,0%,0.0,loss
"Tim,Stout",,12-10-0,5  11,185 lbs.,--,,"Feb 09, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Bobby,Stack",,8-3-0,5  9,155 lbs.,--,Orthodox,--,1.00,20%,2.89,34%,7.48,45%,100%,0.0,loss
"Mario,Sperry",Zen Machine,13-4-0,6  2,205 lbs.,--,Orthodox,"Sep 28, 1966",2.81,52%,1.53,47%,2.09,42%,71%,1.4,loss
"Magomed,Sultanakhmedov",,18-6-0,6  2,185 lbs.,--,Southpaw,--,0.00,0%,2.40,42%,9.00,100%,0%,9.0,loss
"Kevin,Szaflarski",,11-2-0,6  5,260 lbs.,77,Orthodox,"Dec 30, 1994",1.13,28%,8.07,30%,0.00,0%,0%,0.0,loss
"Justin,Sumter",,7-3-0,6  2,185 lbs.,80,Southpaw,"Nov 16, 1989",2.68,48%,7.64,34%,2.87,100%,0%,0.0,loss
"Bartosz,Szewczyk",,8-3-1,6  4,205 lbs.,73,Orthodox,"Sep 18, 1997",2.70,33%,3.52,47%,0.00,0%,0%,0.0,loss
"Cub,Swanson",,30-14-0,5  8,145 lbs.,70,Orthodox,"Nov 02, 1983",4.79,51%,4.00,59%,1.01,50%,63%,0.4,win
"Tim,Sylvia",The Maine-iac,"31-10-0,(1,NC)",6  8,265 lbs.,80,Orthodox,"Mar 05, 1976",4.23,41%,2.61,61%,0.11,100%,75%,0.1,loss
"Leo,Sylvest",Lethal,10-16-0,5  11,205 lbs.,--,Orthodox,"Sep 03, 1973",0.00,0%,6.58,27%,0.00,0%,0%,0.0,loss
"Tony,Sylvester",,11-3-0,6  1,225 lbs.,--,Southpaw,"Jan 27, 1978",0.00,0%,10.12,12%,0.00,0%,0%,0.0,loss
"Kevin,Syler",El Nino Bala,10-1-0,5  9,155 lbs.,71,Switch,"Jul 29, 1993",5.60,69%,4.03,48%,1.00,40%,77%,2.0,loss
"Klaudia,Sygula",,6-2-0,5  8,135 lbs.,69,Orthodox,"Dec 30, 1998",1.89,37%,6.00,36%,0.00,0%,33%,0.0,loss
"Oumar,Sy",,11-0-0,6  4,205 lbs.,83,Orthodox,"Nov 21, 1995",4.81,59%,1.71,73%,3.21,40%,100%,0.8,next
"Bentley,Syler",Bolivia,5-1-0,5  4,125 lbs.,--,Orthodox,"Dec 22, 1982",1.30,18%,1.73,79%,0.00,0%,75%,0.0,loss
"Floyd,Sword",,12-3-0,6  0,185 lbs.,--,Orthodox,"Aug 24, 1976",0.78,42%,1.57,40%,0.00,0%,33%,0.0,loss
"Danilo,Suzart",,9-2-0,6  0,260 lbs.,--,Orthodox,"Dec 04, 1991",4.09,55%,11.73,51%,0.00,0%,0%,0.0,loss
"Daniel,Swain",,20-10-1,5  9,145 lbs.,70,Orthodox,"Jan 30, 1991",0.80,44%,3.20,40%,0.00,0%,0%,6.0,loss
"Martin,Svensson",,15-6-0,6  1,155 lbs.,--,,"Apr 25, 1985",2.02,38%,5.91,38%,0.00,0%,0%,0.0,loss
"Chad,Sutton",,2-2-0,6  1,185 lbs.,--,,"Aug 07, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Mike,Swick",Quick,15-6-0,6  1,170 lbs.,77,Orthodox,"Jun 19, 1979",2.36,37%,2.29,54%,1.06,50%,61%,0.6,loss
"Joel,Sutton",,2-4-1,5  11,205 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,win
"Jason,Suttie",Nobunaga,0-1-0,6  0,210 lbs.,--,Orthodox,"Aug 07, 1973",2.07,83%,4.97,36%,0.00,0%,0%,0.0,loss
"Rama,Supandhi",Hellboy,8-4-0,5  5,125 lbs.,66,Southpaw,"Nov 07, 1991",2.20,42%,3.53,48%,1.00,11%,0%,0.0,loss
Sumudaerji,The Tibetan Eagle,16-7-0,5  8,125 lbs.,72,Southpaw,"Jan 20, 1996",4.72,53%,3.09,60%,0.23,25%,66%,0.9,loss
"George,Sullivan",The Silencer,"17-7-0,(1,NC)",6  0,170 lbs.,73,Orthodox,"Mar 13, 1981",3.53,39%,2.42,57%,1.37,20%,38%,0.7,loss
"Naho,Sugiyuma",Sugi Rock,12-5-0,5  1,105 lbs.,--,,"Feb 03, 1978",2.59,48%,2.45,71%,2.05,100%,66%,0.0,loss
"Amar,Suloev",,24-7-0,5  9,183 lbs.,--,Orthodox,"Jul 01, 1976",1.98,37%,2.19,70%,0.27,100%,88%,0.3,loss
"Tatiana,Suarez",,11-0-0,5  5,115 lbs.,66,Southpaw,"Dec 19, 1990",4.27,63%,1.38,51%,6.20,61%,100%,0.9,next
"Daisuke,Sugie",Amazon,10-8-1,5  6,160 lbs.,--,Orthodox,--,0.00,0%,0.22,80%,3.27,50%,0%,3.3,loss
"Lucasz,Sudolski",,8-1-0,6  4,205 lbs.,75,Orthodox,"Jun 15, 1993",5.70,67%,4.89,28%,0.00,0%,100%,0.0,loss
"Genki,Sudo",Neo-Samurai,15-4-2,5  9,155 lbs.,--,Orthodox,"Mar 08, 1978",1.55,39%,2.23,33%,3.58,60%,50%,4.2,win
"Masanori,Suda",,22-11-3,5  9,183 lbs.,--,Orthodox,--,1.80,50%,1.20,63%,0.00,0%,60%,0.0,loss
"Takashi,Sugiura",,1-3-0,5  11,225 lbs.,--,Southpaw,"May 31, 1970",1.37,40%,2.08,53%,1.33,66%,0%,0.0,win
"Mike,Stumpf",,11-4-0,5  10,170 lbs.,--,,"Aug 01, 1986",3.34,43%,8.85,47%,1.59,25%,33%,0.8,loss
"Kyle,Sturgeon",,0-1-0,6  3,225 lbs.,--,Switch,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Josh,Stuart",,1-4-0,5  9,160 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Sean,Strickland",,29-6-0,6  1,185 lbs.,76,Orthodox,"Feb 27, 1991",6.01,42%,4.48,61%,0.78,64%,77%,0.2,next
"Mark,Striegl",Mugen,"18-4-0,(1,NC)",5  8,145 lbs.,70,Southpaw,"Jun 23, 1988",1.40,45%,4.07,40%,0.00,0%,66%,0.0,loss
"Hans,Stringer",,22-8-3,6  3,205 lbs.,--,Orthodox,"Jul 06, 1987",3.16,61%,2.84,41%,2.40,36%,62%,0.0,loss
"Gerald,Strebendt",The Finishing Machine,9-7-0,5  9,155 lbs.,--,Orthodox,"Mar 01, 1979",0.00,0%,4.00,38%,0.00,0%,0%,16.4,loss
"Stefan,Struve",Skyscraper,33-13-0,6  11,265 lbs.,84,Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7,loss
"Gennaro,Strangis",,0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Dave,Strasser",,25-8-0,5  10,170 lbs.,--,Orthodox,"Jul 13, 1969",3.04,45%,1.88,59%,0.72,33%,33%,0.0,loss
"Jesse,Strader",Sui Generis,5-3-0,5  7,135 lbs.,70,Orthodox,"May 29, 1991",5.03,51%,5.28,47%,3.87,57%,100%,0.0,loss
"Curtis,Stout",,11-12-1,6  1,185 lbs.,--,Southpaw,"Nov 07, 1973",0.69,67%,3.20,29%,0.00,0%,20%,0.0,loss
"Darko,Stosic",,13-4-0,6  0,205 lbs.,76,Orthodox,"Feb 09, 1992",2.61,45%,4.04,58%,3.42,50%,83%,0.0,loss
"Sam,Stout",Hands of Stone,20-12-1,5  9,155 lbs.,70,Orthodox,"Apr 23, 1984",4.17,28%,4.08,57%,0.63,38%,77%,0.1,loss
"Greg,Stott",Ranger,0-1-0,5  7,220 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Ryan,Stonitsch",,8-1-0,5  9,170 lbs.,--,Southpaw,"Feb 03, 1977",2.53,36%,2.53,71%,0.00,0%,0%,0.0,loss
"George,Stork",,7-9-0,5  10,185 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Rick,Story",The Horror,19-9-0,5  9,170 lbs.,71,Southpaw,"Aug 28, 1984",3.80,41%,2.17,62%,2.53,48%,63%,0.9,loss
"Niklas,Stolze",Green Mask,12-6-0,6  1,155 lbs.,74,Switch,"Dec 28, 1992",2.12,48%,2.25,49%,0.66,100%,55%,0.7,loss
"Ken,Stone",,11-4-0,5  8,135 lbs.,71,Southpaw,"Oct 08, 1982",3.85,49%,2.90,48%,1.24,33%,60%,0.6,loss
"Denis,Stojnic",,"13-3-0,(1,NC)",6  0,245 lbs.,--,Orthodox,"Feb 02, 1980",1.51,23%,6.06,36%,0.00,0%,80%,1.0,loss
"Dustin,Stoltzfus",,16-6-0,6  0,185 lbs.,75,Orthodox,"Nov 15, 1991",3.47,44%,3.29,46%,2.31,41%,46%,1.1,win
"Julija,Stoliarenko",,11-9-2,5  7,125 lbs.,66,Orthodox,"Apr 08, 1993",2.49,39%,4.54,46%,0.93,27%,54%,1.7,loss
"Dan,Stittgen",The Anvil,12-5-0,6  1,170 lbs.,--,Orthodox,"Nov 17, 1980",2.97,46%,4.42,37%,0.78,100%,100%,0.0,loss
"Lazar,Stojadinovic",The Bronx Bomber,12-5-0,5  7,145 lbs.,68,Southpaw,"Mar 22, 1989",1.82,29%,1.97,59%,0.00,0%,0%,0.0,loss
"Navajo,Stirling",,6-0-0,6  4,205 lbs.,79,Orthodox,"Nov 07, 1997",5.82,56%,2.55,58%,0.00,0%,72%,0.0,win
"Tyler,Stinson",The Evolution,30-10-0,6  3,170 lbs.,--,,"Jan 17, 1986",2.80,23%,4.60,56%,0.50,100%,0%,0.5,loss
"Alex,Stiebling",The Brazilian Killa,"19-11-1,(1,NC)",6  2,205 lbs.,--,Southpaw,--,1.77,42%,1.45,52%,0.35,66%,66%,0.7,loss
"Kyle,Stewart",Gunz Up,11-3-0,6  0,170 lbs.,76,Orthodox,"Jan 31, 1989",1.41,35%,2.42,43%,1.32,20%,60%,0.0,loss
"Darren,Stewart",The Dentist,"12-8-0,(2,NC)",6  0,205 lbs.,74,Orthodox,"Dec 30, 1990",3.05,45%,3.29,48%,1.75,45%,67%,0.1,loss
"Joe,Stevenson",Daddy,33-16-0,5  7,145 lbs.,70,Orthodox,"Jun 15, 1982",2.05,44%,2.44,60%,2.75,44%,39%,2.2,loss
"Luke,Stewart",,6-3-0,5  11,170 lbs.,--,Orthodox,--,3.75,56%,2.34,53%,3.75,33%,50%,1.9,loss
"Maia,Stevenson",,6-5-0,5  4,115 lbs.,62,Orthodox,"Mar 19, 1982",1.57,54%,3.13,33%,3.91,100%,50%,0.0,loss
"Marc,Stevens",,21-10-0,5  9,155 lbs.,--,,--,0.45,26%,1.79,46%,0.00,0%,0%,0.0,loss
"Dmitri,Stepanov",,0-1-0,6  3,217 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Aljamain,Sterling",Funk Master,24-5-0,5  7,145 lbs.,71,Orthodox,"Jul 31, 1989",4.41,52%,2.21,58%,2.51,29%,42%,0.7,loss
"Ray,Steinbeiss",Ipswitch Cobra,14-7-0,5  11,170 lbs.,--,Orthodox,"Sep 12, 1979",0.00,0%,0.00,100%,0.00,0%,0%,0.0,loss
"Eric,Steenberg",,5-1-0,--,155 lbs.,--,,"Jun 22, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Steve,Steinbeiss",The Hooligan,9-4-0,6  3,185 lbs.,75,Orthodox,"May 05, 1981",3.92,55%,1.86,49%,0.44,50%,58%,0.0,loss
"Kody,Steele",,7-0-0,5  9,155 lbs.,71,Orthodox,"Apr 21, 1995",5.27,40%,5.27,60%,0.00,0%,100%,0.0,win
"Jeremy,Stephens",Lil' Heathen,"28-19-0,(1,NC)",5  9,145 lbs.,71,Orthodox,"May 25, 1986",3.17,40%,3.05,58%,1.16,38%,65%,0.4,loss
"Ricky,Steele",The Karate Kid,6-0-0,5  9,135 lbs.,74,Orthodox,"May 26, 1988",4.07,70%,2.93,50%,0.00,0%,91%,0.0,win
"Dominique,Steele",Non-Stop Action-Packed,14-9-0,5  10,170 lbs.,74,Orthodox,"Jan 27, 1988",2.32,49%,2.42,50%,2.95,42%,76%,0.0,loss
"Adam,Steele",,0-1-0,--,170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Damian,Stasiak",Webster,10-6-0,5  5,135 lbs.,70,Orthodox,"Feb 20, 1990",1.86,36%,3.10,52%,2.64,35%,43%,0.6,loss
"Clifford,Starks",,13-3-0,6  0,185 lbs.,78,Orthodox,"Apr 25, 1981",1.94,33%,2.49,58%,1.94,100%,60%,0.0,loss
"Laureano,Staropoli",Pepi,9-5-0,6  1,185 lbs.,71,Orthodox,"Feb 27, 1993",3.31,34%,3.73,54%,0.83,26%,48%,0.0,loss
"Lucas,Stark",,1-5-0,--,155 lbs.,--,,--,1.60,25%,3.20,66%,12.00,100%,0%,0.0,loss
"Kalib,Starnes",,17-11-1,6  3,185 lbs.,74,Orthodox,"Jan 06, 1975",2.71,48%,4.43,53%,1.46,33%,25%,0.6,loss
"Dion,Staring",Soldier,35-14-0,6  1,235 lbs.,--,Orthodox,"Jun 09, 1978",1.09,37%,5.00,47%,0.00,0%,33%,0.0,loss
"Josh,Stansbury",The Sandman,4-8-0,6  2,205 lbs.,74,Orthodox,"Nov 19, 1984",3.22,54%,3.54,54%,0.00,0%,87%,1.0,loss
"Cristina,Stanciu",Barbie,5-2-0,5  3,115 lbs.,--,Orthodox,"Mar 29, 1994",2.50,50%,3.07,52%,0.85,100%,40%,1.7,loss
"Brian,Stann",All American,12-6-0,6  1,205 lbs.,74,Orthodox,"Sep 24, 1980",3.28,42%,2.65,59%,0.12,12%,60%,0.3,loss
"Ho,Bae,Myeon",,13-5-1,5  11,168 lbs.,--,Orthodox,--,3.16,16%,3.16,83%,0.00,0%,0%,0.0,loss
"Ron,Stallings",The Choir Boy,"14-8-0,(1,NC)",6  2,170 lbs.,75,Southpaw,"Jan 25, 1983",3.22,60%,3.26,51%,0.00,0%,71%,0.0,loss
"Magomed,Mustafaev",The Sniper,14-4-0,5  8,155 lbs.,71,Orthodox,"Aug 02, 1988",2.59,58%,2.68,41%,3.31,50%,23%,0.4,loss
"Andreas,Stahl",Real Steel,10-4-0,5  11,170 lbs.,--,Orthodox,"May 20, 1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0,loss
"Elvis,Mutapcic",The King,15-6-1,6  0,185 lbs.,72,Orthodox,"Jul 19, 1986",3.41,40%,4.27,38%,0.00,0%,81%,0.0,loss
"Cody,Stamann",The Spartan,21-8-1,5  6,135 lbs.,64,Orthodox,"Nov 09, 1989",4.32,46%,3.91,60%,2.17,37%,76%,0.0,loss
"Fiona,Muxlow",,6-3-0,5  4,145 lbs.,--,,"May 13, 1977",1.44,27%,5.45,34%,0.00,0%,0%,0.0,loss
"Andre,Mussi",,11-5-0,6  3,242 lbs.,--,Orthodox,--,0.00,0%,10.59,35%,0.00,0%,0%,0.0,loss
"Nicholas,Musoke",Nico,"13-5-0,(1,NC)",6  0,170 lbs.,75,Orthodox,"Apr 05, 1986",3.56,35%,3.80,57%,1.16,19%,82%,0.2,loss
"Max,Mustaki",,6-3-0,6  0,155 lbs.,--,Orthodox,"Nov 07, 1987",8.20,50%,13.00,45%,0.00,0%,0%,0.0,loss
"Austin,Springer",,12-4-0,5  8,145 lbs.,71,Orthodox,"May 12, 1987",3.54,57%,3.15,41%,3.37,40%,100%,0.8,loss
"Georges,St-Pierre",Rush,26-2-0,5  11,185 lbs.,76,Orthodox,"May 19, 1981",3.78,53%,1.40,72%,4.16,74%,83%,1.1,win
"Pete,Spratt",The Secret Weapon,25-23-0,5  9,170 lbs.,--,Orthodox,"Jan 09, 1971",1.63,48%,1.33,55%,0.30,100%,46%,0.3,loss
"Daniel,Spitz",,6-3-0,6  7,245 lbs.,82,Orthodox,"Jul 31, 1990",2.60,35%,5.30,46%,0.74,66%,0%,0.0,loss
"Waachiim,Spiritwolf",Native Warrior,"12-13-1,(2,NC)",5  8,170 lbs.,--,,--,10.00,100%,10.00,0%,0.00,0%,0%,0.0,nc
"Daniel,Spohn",Dragon,15-6-0,6  4,205 lbs.,79,Southpaw,"Oct 12, 1984",2.42,49%,1.60,53%,0.00,0%,28%,2.5,win
"Serghei,Spivac",Polar Bear,17-5-0,6  3,260 lbs.,78,Orthodox,"Jan 24, 1995",3.49,49%,3.77,48%,4.56,65%,63%,0.6,loss
"Eric,Spicely",Zebrinha,12-6-0,6  1,185 lbs.,73,Orthodox,"Sep 29, 1986",3.71,45%,5.72,55%,1.31,20%,75%,1.0,loss
"Josias,Musasa",The KO Wizard,7-0-0,5  8,135 lbs.,74,Southpaw,"Oct 10, 1998",3.33,44%,4.53,27%,1.00,100%,75%,1.0,win
"Azamat,Murzakanov",The Professional,14-0-0,5  10,205 lbs.,71,Southpaw,"Apr 12, 1989",4.72,56%,2.90,61%,0.62,15%,83%,0.0,win
"Lee,Murray",Lightning,"8-2-1,(1,NC)",6  3,185 lbs.,--,Orthodox,"Sep 12, 1977",0.36,15%,3.28,32%,0.90,100%,42%,1.8,loss
"Khalid,Murtazaliev",,14-2-0,6  0,185 lbs.,76,Orthodox,"Jul 15, 1993",4.80,69%,0.40,78%,7.50,100%,33%,0.0,win
"Felicia,Spencer",FeeNom,9-3-0,5  6,145 lbs.,68,Orthodox,"Nov 29, 1990",3.21,48%,4.54,45%,1.18,18%,27%,0.2,win
"Sam,Spengler",The Ram,9-5-0,5  11,185 lbs.,--,Orthodox,--,3.27,62%,3.27,54%,1.75,11%,75%,1.8,loss
"Lerone,Murphy",The Miracle,15-0-1,5  9,145 lbs.,73,Orthodox,"Jul 22, 1991",4.80,54%,2.67,60%,1.78,54%,48%,0.6,win
"Jesse,Murray",Hollywood,8-4-0,6  3,205 lbs.,78,Orthodox,"Jan 26, 1993",2.38,28%,7.72,43%,0.00,0%,0%,0.0,loss
"Sean,Spencer",Black Magic,12-6-0,5  10,170 lbs.,74,Orthodox,"Jun 25, 1987",4.24,32%,4.02,60%,0.14,33%,68%,0.0,loss
"Patrick,Speight",,7-3-0,6  1,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,loss
"Tommy,Speer",,21-7-0,5  10,170 lbs.,71,Orthodox,"Aug 20, 1984",2.56,51%,5.12,35%,2.02,33%,33%,0.0,loss
